segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,1.0,1.0,CADC0872,1,279,280,8.533143499999998e-07,3.49428315570552e-10,1.8693001780627744e-05,0.6311173662492302,0.5520522696354365,4,3,2,4,6,1.2711755417075724e-10,2.9606660433502864e-10,279,280,1.2524312386041289e-12,1.2479582698948285e-12
2,1.0,1.0,CADC0872,1,476,477,-3.639396266247381e-06,6.476484614528283e-10,2.5448938316810556e-05,-1.2436105409484075,0.4256322649450154,1,1,1,5,8,1.4893834768968185e-12,3.004752494170574e-12,476,477,1.3606060114555216e-12,1.357753587951422e-12
3,1.0,1.0,CADC0872,1,594,595,1.1707879512605042e-05,5.59287714097435e-10,2.364926455722112e-05,-0.2845925576500123,-0.8261874641934153,3,2,2,2,3,4.112280202789317e-12,1.0299180074673246e-11,594,595,9.415618082448399e-13,9.399793514242604e-13
4,1.0,1.0,CADC0872,1,271,272,8.486808235294126e-07,5.46602384661463e-10,2.3379529179636252e-05,-0.8870884659002054,-0.1384979514679493,2,2,2,3,6,2.4757597647001087e-11,6.240984572962385e-11,271,272,2.016982969230492e-12,2.009567590667144e-12
6,0.0,1.0,CADC0872,1,252,253,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,-1.3023085613490446,-0.179240113059536,1,1,1,66,84,6.430575230937019e-13,7.268033028148551e-13,252,253,2.636182428221765e-12,2.625762734829584e-12
8,1.0,1.0,CADC0872,1,399,400,1.5204373149999998e-06,1.652298873352987e-10,1.2854177816387116e-05,-0.1114814980954337,0.5987550414758036,3,3,2,1,2,1.989722057280419e-11,5.946671994860804e-11,399,400,4.141099933215506e-13,4.1307471833824674e-13
9,1.0,1.0,CADC0872,1,513,514,4.173000953307394e-07,1.73340145538637e-10,1.316587048161408e-05,-0.8595242578461675,0.3059972421010178,1,1,1,4,2,1.1309735970453785e-12,2.510246914573329e-12,513,514,3.378950205431521e-13,3.372376372347024e-13
11,0.0,1.0,CADC0872,1,229,230,-4.51954224e-06,4.3323061321283654e-10,2.0814192590942283e-05,-1.2642493263381809,-0.2320908424929871,1,1,1,71,84,5.909420092907243e-13,8.931564543910516e-13,229,230,1.891836738920684e-12,1.883611361794942e-12
14,0.0,1.0,CADC0872,1,221,222,6.963036954954955e-06,6.600910775784001e-10,2.569223769114711e-05,-1.3099544300386137,-0.1617670429963454,1,1,1,67,77,8.710885684176065e-13,1.0171315610337586e-12,221,222,2.9868374551058838e-12,2.9733832323351362e-12
15,1.0,1.0,CADC0872,1,200,201,-7.767890676616916e-06,1.4598433919622123e-10,1.2082397907543902e-05,-1.3764193585466062,-0.1466542507753611,8,2,1,21,32,4.035516531419921e-12,9.654801934071314e-12,200,201,7.299216959811063e-13,7.262902447573198e-13
16,0.0,1.0,CADC0872,1,249,250,2.560307673600001e-06,5.613340482840468e-10,2.369248928002389e-05,-1.4583843794155231,-0.0394007283374755,1,1,1,67,66,2.09028752873673e-12,4.5076300228425646e-12,249,250,2.2543536075664533e-12,2.245336193136188e-12
17,0.0,1.0,CADC0872,1,238,239,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,-1.0120805740067558,-0.363082320020136,1,1,1,54,64,1.6851626846655493e-12,3.865913626402384e-12,238,239,1.4312074569901292e-12,1.4252191412705053e-12
19,1.0,1.0,CADC0872,1,202,203,-5.584398348768473e-06,1.9262978945958084e-10,1.387911342484025e-05,-1.2649221065817802,-0.1468441553509792,2,1,1,29,40,2.3599440551902203e-12,5.479548364194244e-12,202,203,9.536128191068358e-13,9.489152190127137e-13
22,1.0,1.0,CADC0872,1,183,184,-5.040148853641304e-06,2.2957973930255104e-10,1.5151888968130378e-05,0.5374727443578138,-1.5093964027183435,6,1,1,14,15,7.517321168711943e-12,1.5725877456716946e-11,183,184,1.2545340945494592e-12,1.247715974470386e-12
23,0.0,1.0,CADC0872,1,243,244,2.346611106557377e-06,8.908867435407415e-10,2.9847725935835408e-05,-1.4878089313826552,0.0022501749039919,1,1,1,47,53,3.0884833911403045e-12,6.299152873774194e-12,243,244,3.6662005907026396e-12,3.651175178445663e-12
24,1.0,1.0,CADC0872,1,201,202,-8.968957113861387e-06,4.0564902046655837e-10,2.0140730385627982e-05,-1.3019901857550655,-0.1811360840432008,1,1,1,12,13,6.703092841414196e-12,1.307913476781837e-11,201,202,2.018154330679395e-12,2.0081634676562297e-12
25,0.0,1.0,CADC0872,1,208,209,9.8655519138756e-07,6.941012221737457e-10,2.634580084517732e-05,-1.4755890643097809,-0.031255114779436,1,1,1,50,61,2.0925472008710955e-12,3.571336707892104e-12,208,209,3.3370251066045472e-12,3.321058479300219e-12
27,0.0,1.0,CADC0872,1,202,203,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,-0.8336900319426253,-0.4789567957926405,2,1,1,36,38,3.2894368618308617e-12,7.773531738830662e-12,202,203,2.481921267557433e-12,2.4696950544167558e-12
32,0.0,1.0,CADC0872,1,202,203,6.426002753694582e-07,2.288334056561209e-10,1.5127240516899338e-05,-1.2901575129495155,-0.1535840082192607,1,1,1,55,61,1.886357072614889e-12,5.296148517595596e-12,202,203,1.132838641861985e-12,1.1272581559414826e-12
33,0.0,1.0,CADC0872,1,229,230,2.101973343478261e-06,3.6454762997174184e-10,1.909313043928999e-05,-1.4942384421491517,0.0198442970180315,1,1,1,64,64,2.332067506749891e-12,6.430783995253762e-12,229,230,1.5919110479115366e-12,1.5849896955293129e-12
34,0.0,1.0,CADC0872,1,185,186,-7.543538026881721e-06,8.746723383396739e-11,9.352391877694572e-06,-1.1978992609144303,-0.2081805538291964,3,1,1,41,44,1.5755302193307805e-12,4.361466225010511e-12,185,186,4.72795858561986e-13,4.702539453439108e-13
38,0.0,1.0,CADC0872,1,196,197,1.7975299492386502e-08,7.739083804899864e-10,2.781920884011597e-05,-1.4850694590849882,-0.0666227459606806,1,1,1,44,55,1.4800673793906628e-12,2.055843066294225e-12,196,197,3.948512145357074e-12,3.928468936497393e-12
41,0.0,1.0,CADC0872,1,199,200,4.06904122e-06,4.4451811298617954e-10,2.108359819827203e-05,-1.4026988422537556,-0.1200316282187602,1,1,1,34,40,2.5415260430275344e-12,6.39152218713094e-12,199,200,2.233759361739596e-12,2.222590564930898e-12
44,0.0,1.0,CADC0872,1,205,206,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,-1.4721426388551364,-0.0150803784611694,2,1,1,34,41,2.7770370187511977e-12,7.85309143882054e-12,205,206,1.5173116513507432e-12,1.5099460608102057e-12
47,0.0,1.0,CADC0872,1,184,185,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,-0.9771111583624026,-0.3765486249078456,1,1,1,44,53,9.644726418815068e-13,1.856168658358875e-12,184,185,1.1376225099270034e-12,1.131473199062533e-12
48,0.0,1.0,CADC0872,1,233,234,-1.4488028452991454e-06,6.032890044128558e-10,2.4561942195454656e-05,-1.4895453009880302,0.0157715787369657,1,1,1,55,63,1.6012962324056473e-12,3.132799937927992e-12,233,234,2.589223194904961e-12,2.5781581385164787e-12
49,0.0,1.0,CADC0872,1,185,186,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,-0.6905052180708902,-0.7442022222449438,2,1,1,27,35,1.823506578813816e-12,4.3735662208427516e-12,185,186,1.351813537967476e-12,1.3445457232472206e-12
52,1.0,1.0,CADC0872,1,166,167,-1.8754152574850304e-06,5.697570098170464e-10,2.3869583360776248e-05,-1.2205775116636852,-0.2947699527317904,1,1,1,33,43,2.505382759431736e-12,5.010278248138061e-12,166,167,3.432271143476183e-12,3.4117186216589605e-12
53,0.0,1.0,CADC0872,1,193,194,-3.737276556701031e-06,8.166443576989557e-10,2.857699000417916e-05,-1.4758693751638186,-0.0164847932084414,1,1,1,45,62,3.1669332527812304e-12,6.061745467709311e-12,193,194,4.23131791553863e-12,4.209506998448225e-12
56,0.0,1.0,CADC0872,1,190,191,4.68003470157068e-06,4.415157822380448e-10,2.1012276940827822e-05,-1.217343212252034,-0.1906420296395878,1,1,1,29,45,2.651447712992497e-12,5.423697489754469e-12,190,191,2.3237672749370777e-12,2.311600954125889e-12
57,1.0,1.0,CADC0872,1,190,191,3.63203292670157e-06,3.9690255818675715e-10,1.9922413462900453e-05,-1.2363885717823313,-0.2132621806319292,2,1,1,16,29,4.264999474465775e-12,8.612306281625527e-12,190,191,2.08896083256188e-12,2.078023864852132e-12
58,0.0,1.0,CADC0872,1,158,159,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,-1.3936797186758496,0.0043021026279251,2,1,1,28,36,2.0130440020890228e-12,4.249245681800116e-12,158,159,6.166639924097082e-13,6.12785602520339e-13
59,1.0,1.0,CADC0872,1,194,195,2.892919692307692e-06,2.1281915687004408e-10,1.45883226201659e-05,-1.3743775799641456,-0.069716947064986,2,2,1,4,15,3.111372416656651e-12,6.166965234303396e-12,194,195,1.0970059632476498e-12,1.0913802916412518e-12
60,1.0,1.0,CADC0872,1,192,193,2.5781327461139894e-06,2.545791623726749e-10,1.5955537044320224e-05,-1.510190329450101,-0.0282323702724008,1,1,1,27,26,1.3298934947435105e-12,2.4942697544929287e-12,192,193,1.325933137357682e-12,1.3190630174749996e-12
