segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1,1,1,CADC0872,1,279,280,8.533143499999998e-07,3.4942831557055196e-10,1.8693001780627744e-05,0.6311173662492302,0.5520522696354365,4,3,2,4,6,1.2711755417075724e-10,2.9606660433502864e-10,279,280,1.2524312386041289e-12,1.2479582698948283e-12
2,1,1,CADC0872,1,476,477,-3.639396266247381e-06,6.476484614528283e-10,2.5448938316810553e-05,-1.2436105409484077,0.42563226494501544,1,1,1,5,8,1.4893834768968183e-12,3.004752494170574e-12,476,477,1.3606060114555216e-12,1.357753587951422e-12
3,1,1,CADC0872,1,594,595,1.1707879512605042e-05,5.59287714097435e-10,2.3649264557221118e-05,-0.28459255765001235,-0.8261874641934153,3,2,2,2,3,4.1122802027893165e-12,1.0299180074673246e-11,594,595,9.4156180824484e-13,9.399793514242604e-13
4,1,1,CADC0872,1,271,272,8.486808235294126e-07,5.466023846614631e-10,2.3379529179636255e-05,-0.8870884659002054,-0.13849795146794935,2,2,2,3,6,2.4757597647001087e-11,6.240984572962386e-11,271,272,2.0169829692304914e-12,2.009567590667144e-12
5,0,0,CADC0872,1,256,257,1.0584846070038911e-05,5.27902278315266e-10,2.2976124092528443e-05,-1.4843933372949996,-0.060154878172477215,1,1,1,78,87,5.547101361564531e-13,7.035422088489087e-13,256,257,2.0621182746690077e-12,2.054094468152786e-12
6,0,1,CADC0872,1,252,253,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,-1.3023085613490446,-0.179240113059536,1,1,1,66,84,6.430575230937018e-13,7.268033028148551e-13,252,253,2.6361824282217647e-12,2.6257627348295838e-12
7,0,0,CADC0872,1,379,380,2.9907951973684204e-06,3.8437252690564615e-10,1.9605420855101433e-05,-0.736378555471322,-0.0782942495914141,1,1,1,111,127,3.793821108523652e-13,6.80787912571573e-13,379,380,1.0141755327325755e-12,1.0115066497517003e-12
8,1,1,CADC0872,1,399,400,1.5204373149999998e-06,1.652298873352987e-10,1.2854177816387117e-05,-0.11148149809543373,0.5987550414758036,3,3,2,1,2,1.989722057280419e-11,5.946671994860804e-11,399,400,4.141099933215506e-13,4.1307471833824674e-13
9,1,1,CADC0872,1,513,514,4.1730009533073935e-07,1.73340145538637e-10,1.316587048161408e-05,-0.8595242578461675,0.30599724210101786,1,1,1,4,2,1.1309735970453785e-12,2.510246914573329e-12,513,514,3.3789502054315203e-13,3.3723763723470235e-13
10,0,1,CADC0872,1,316,317,4.411687239747634e-06,6.31100611241738e-10,2.5121715929484952e-05,-1.2167116352009533,-0.1281759287096554,1,1,1,97,104,5.293624016340368e-13,8.428462406968079e-13,316,317,1.997153833043475e-12,1.9908536632231484e-12
