channel,timestamp,value,label,sampling,anomaly,segment,train
CADC0872,2022-06-01T23:42:54.000Z,-2.1487e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:42:55.000Z,-2.05077e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:42:56.000Z,-2.10633e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:42:57.000Z,-2.14833e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:42:58.000Z,-2.14833e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:42:59.000Z,-2.13358e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:00.000Z,-2.07797e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:01.000Z,-2.07745e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:02.000Z,-2.11939e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:03.000Z,-2.07759e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:04.000Z,-2.07759e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:05.000Z,-2.06326e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:06.000Z,-2.10478e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:07.000Z,-2.13286e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:08.000Z,-2.13286e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:09.000Z,-2.13218e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:10.000Z,-2.11828e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:11.000Z,-2.07587e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:12.000Z,-2.09002e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:13.000Z,-2.09002e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:14.000Z,-2.03404e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:15.000Z,-1.97867e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:16.000Z,6.3231e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:17.000Z,6.3231e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:18.000Z,-4.80157e-06,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:19.000Z,-4.80157e-06,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:20.000Z,6.44014e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:21.000Z,-1.76886e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:22.000Z,-1.76886e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:23.000Z,-1.76886e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:24.000Z,-1.79601e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:25.000Z,-1.65682e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:26.000Z,-1.67023e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:27.000Z,-1.50371e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:28.000Z,-1.50371e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:29.000Z,-1.58691e-05,anomaly,1,1,1,1
CADC0872,2022-06-01T23:43:30.000Z,-1.51678e-05,anomaly,1,1,1,1
