channel,timestamp,value,label,sampling,anomaly,segment,train
CADC0873,2022-06-01T23:48:52.000Z,-3.68078e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:53.000Z,-3.65238e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:54.000Z,-3.66663e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:55.000Z,-3.69406e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:56.000Z,-3.61172e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:57.000Z,-3.61262e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:58.000Z,-3.61289e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:48:59.000Z,-3.61136e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:00.000Z,-3.54733e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:01.000Z,-3.55838e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:02.000Z,-3.56091e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:03.000Z,-3.55822e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:04.000Z,-3.53201e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:05.000Z,-3.47821e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:06.000Z,-3.50266e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:07.000Z,-3.44844e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:08.000Z,-3.33884e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:09.000Z,-3.36429e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:10.000Z,-3.3688e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:11.000Z,-3.32568e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:12.000Z,-3.28626e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:13.000Z,-3.25714e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:14.000Z,-3.31213e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:15.000Z,-3.16031e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:16.000Z,-3.14485e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:17.000Z,-3.11975e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:18.000Z,-3.11848e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:19.000Z,-3.02249e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:20.000Z,-2.96822e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:21.000Z,-3.00941e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:22.000Z,-2.927e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:23.000Z,-2.91265e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:24.000Z,-2.89865e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:25.000Z,-2.81695e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:26.000Z,-2.72069e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:27.000Z,-2.72122e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:28.000Z,-2.72019e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:29.000Z,-2.58103e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:30.000Z,-2.58306e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:31.000Z,-2.55321e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:32.000Z,-2.45669e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:33.000Z,-2.42905e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:34.000Z,-2.36001e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:35.000Z,-2.26438e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:36.000Z,-2.29186e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:37.000Z,-2.23712e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:38.000Z,-2.19563e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:39.000Z,-2.07293e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:40.000Z,-2.05713e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:41.000Z,-1.96206e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:42.000Z,-1.88057e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:43.000Z,-1.83822e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:44.000Z,-1.74262e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:45.000Z,-1.74307e-05,anomaly,1,1,444,0
CADC0873,2022-06-01T23:49:46.000Z,-1.68739e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:47.000Z,-2.4225e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:47.000Z,-1.57761e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:48.000Z,-1.5376e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:48.000Z,-1.52133e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:49.000Z,-1.68587e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:49.000Z,-1.49765e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:50.000Z,-2.04931e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:50.000Z,-1.32918e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:51.000Z,-9.36924e-07,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:51.000Z,-1.37096e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:52.000Z,-1.86793e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:52.000Z,-1.23453e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:53.000Z,-2.07545e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:53.000Z,-1.21663e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:54.000Z,-9.99618e-07,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:54.000Z,-1.12361e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:55.000Z,-1.36617e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:55.000Z,-9.58919e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:56.000Z,-1.60409e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:56.000Z,-1.01024e-05,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:57.000Z,-1.74004e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:57.000Z,-9.01244e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:58.000Z,-1.70185e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:58.000Z,-7.91957e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:49:59.000Z,-1.42081e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:49:59.000Z,-8.06094e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:50:00.000Z,-2.0896e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:50:00.000Z,-6.82116e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:50:01.000Z,-1.77653e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:50:01.000Z,-6.94672e-06,anomaly,1,1,444,0
CADC0874,2022-06-01T23:50:02.000Z,-1.62596e-06,anomaly,1,1,239,0
CADC0873,2022-06-01T23:50:02.000Z,-6.28318e-06,anomaly,1,1,444,0
