channel,timestamp,value,label,sampling,anomaly,segment,train
CADC0872,2022-01-27T02:20:37.000Z,-3.04275e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:42.000Z,-2.9464e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:47.000Z,-2.89207e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:52.000Z,-2.67146e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:57.000Z,-2.53361e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:02.000Z,-2.33974e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:07.000Z,-2.0079e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:13.000Z,-1.7453e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:17.000Z,-1.52391e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:22.000Z,-1.10869e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:27.000Z,-8.87801e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:32.000Z,-5.41242e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:38.000Z,-1.39513e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:42.000Z,1.09692e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:47.000Z,3.44311e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:52.000Z,7.17956e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:58.000Z,9.80393e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:02.000Z,1.20156e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:07.000Z,1.43636e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:12.000Z,1.57459e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:17.000Z,1.75417e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:22.000Z,1.89094e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:28.000Z,2.02959e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:32.000Z,2.04289e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:37.000Z,2.06972e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:42.000Z,2.15229e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:48.000Z,2.12357e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:52.000Z,2.15091e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:57.000Z,1.96979e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:02.000Z,1.91362e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:07.000Z,1.8585e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:12.000Z,1.76129e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:18.000Z,1.49763e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:22.000Z,1.428e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:27.000Z,1.12283e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:32.000Z,8.59167e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:37.000Z,5.81811e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:43.000Z,3.74283e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:47.000Z,8.25862e-07,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:52.000Z,-1.80812e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:57.000Z,-4.2987e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:02.000Z,-6.64667e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:07.000Z,-8.71896e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:12.000Z,-1.20402e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:17.000Z,-1.31373e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:22.000Z,-1.56211e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:28.000Z,-1.78299e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:32.000Z,-1.90645e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:37.000Z,-2.07139e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:43.000Z,-2.22213e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:47.000Z,-2.3043e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:53.000Z,-2.38539e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:57.000Z,-2.41182e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:25:02.000Z,-2.54877e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:25:07.000Z,-2.56143e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:33:09.000Z,-1.4672e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:14.000Z,-1.49342e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:19.000Z,-1.47885e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:24.000Z,-1.37983e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:29.000Z,-1.2815e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:34.000Z,-1.18299e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:39.000Z,-1.00138e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:44.000Z,-9.03437e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:49.000Z,-7.21924e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:54.000Z,-5.67915e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:33:59.000Z,-3.45262e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:04.000Z,-2.06252e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:09.000Z,4.41813e-07,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:14.000Z,1.55442e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:19.000Z,4.19631e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:24.000Z,5.16112e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:29.000Z,6.26845e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:34.000Z,8.90098e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:39.000Z,8.89544e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:44.000Z,9.44479e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:49.000Z,1.05452e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:54.000Z,1.09623e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:34:59.000Z,1.10897e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:05.000Z,0.0,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:10.000Z,0.0,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:15.000Z,1.17531e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:20.000Z,1.13219e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:25.000Z,8.9428e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:30.000Z,7.54694e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:35.000Z,5.1765e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:40.000Z,2.80485e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:45.000Z,1.12653e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:50.000Z,-1.31987e-07,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:35:55.000Z,-3.75614e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:00.000Z,-6.40461e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:05.000Z,-8.50148e-06,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:10.000Z,-1.17013e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:15.000Z,-1.44826e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:20.000Z,-1.68592e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:25.000Z,-1.90857e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:30.000Z,-2.11747e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:35.000Z,-2.38251e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:40.000Z,-2.55007e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:45.000Z,-2.78676e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:50.000Z,-2.91251e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:36:55.000Z,-3.07985e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:37:00.000Z,-3.17788e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:37:05.000Z,-3.26212e-05,anomaly,5,1,1967,0
CADC0872,2022-01-27T02:37:10.000Z,-3.15262e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:15.000Z,-3.11095e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:20.000Z,-3.06891e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:25.000Z,-2.90336e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:30.000Z,-2.69579e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:35.000Z,-2.54308e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:40.000Z,-2.29386e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:45.000Z,-2.08616e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:50.000Z,-1.92098e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:37:55.000Z,-1.49084e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:00.000Z,-1.28301e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:05.000Z,-8.80896e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:10.000Z,-5.76155e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:15.000Z,-2.71776e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:20.000Z,8.89879e-07,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:25.000Z,5.32792e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:30.000Z,7.82854e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:35.000Z,1.24058e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:40.000Z,1.40631e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:45.000Z,1.80868e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:50.000Z,2.04471e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:38:55.000Z,2.26652e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:00.000Z,2.58531e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:05.000Z,2.62668e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:10.000Z,2.75173e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:15.000Z,2.98717e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:20.000Z,2.98627e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:25.000Z,3.055e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:31.000Z,3.08303e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:36.000Z,2.8469e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:41.000Z,2.81876e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:46.000Z,2.72142e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:51.000Z,2.51289e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:39:56.000Z,2.3046e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:01.000Z,2.17864e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:06.000Z,1.86019e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:11.000Z,1.63732e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:16.000Z,1.36009e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:21.000Z,1.11039e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:26.000Z,7.07988e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:31.000Z,2.92013e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:36.000Z,-5.44419e-07,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:41.000Z,-4.14645e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:46.000Z,-7.33434e-06,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:51.000Z,-1.07981e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:40:56.000Z,-1.45372e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:01.000Z,-1.85508e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:06.000Z,-2.14538e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:11.000Z,-2.43637e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:16.000Z,-2.72642e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:21.000Z,-2.98885e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:26.000Z,-3.3208e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:31.000Z,-3.47184e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:36.000Z,-3.56765e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:41.000Z,-3.85732e-05,anomaly,5,0,1968,0
CADC0872,2022-01-27T02:41:46.000Z,-3.86915e-05,anomaly,5,0,1968,0
